"country","sftgcode","iso3code","year","start","ongoing","ageln","postcw","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","wdi.popsizeln","wdi.tradeln","xxxcimrln","polcat1","polcat2","polcat3","polcat7","pitfcat1","pitfcat2","pitfcat3","pitfcat4","pitfcat5","pitfcat6","durableln","autocracy","efcat1","efcat2","efcat3","efcat9","ever","ongoing.1","cou.tries5d","regacln","civconln","io.iccpr1","mix.gdppcgrowsr","dispota4ln","elceliti","elcelethc","elceleth1","elceleth2","sftpuhvl2.10ln","coup.p","cwar.p","pitf.p","threat.p","harff.p","rf.p","mean.p","date"
"Czech Republic","CZR","CZE",2014,0,0,3.09104245335832,1,0,0,1,0,0,0,16.1682952975311,5.01368771847384,-1.74802407605808,0,0,1,0,0,0,1,0,0,0,2.99573227355399,0,0,1,0,0,0,0,0,1.94591014905531,0,1,-1.01050445589116,0,0,0,0,0,0,0.00340163855592838,0.00212562182851048,0.0195610038399215,0.00032001203865705,0.00253575490854871,0,0.000951922315735253,2018-07-06
"Denmark","DEN","DNK",2014,0,0,6.95654544315157,1,0,0,1,0,0,0,15.5365753513145,4.64234425496656,-1.62365615934807,0,0,1,0,0,0,0,0,1,0,4.21950770517611,0,1,0,0,0,0,0,0,1.94591014905531,0,1,-0.613670874556184,0,0,0,0,0,0,0.00277199811720645,0.00185425648566662,0.00264749484264686,0.000250464432117745,0.000846778543311607,0,0.000365747658476451,2018-07-06
"Djibouti","DJI","DJI",2014,0,0,3.63758615972639,1,1,0,0,0,0,0,13.6642829351735,4.89961301244529,0.919767035323557,0,1,0,0,0,0,1,0,0,0,2.63905732961526,0,0,1,0,0,0,0,0,2.63905732961526,0,1,2.25833154947501,0,0,0,0,0,0,0.0294022850388231,0.0144803410733961,0.0965459787574415,0.00634657319330722,0.00817736630785733,0.001,0.00517464650038818,2018-07-06
"Dominican Republic","DOM","DOM",2014,0,0,5.01063529409626,1,0,0,0,0,0,1,16.1453820674607,4.07543121244256,0.00235017716889731,0,0,1,0,0,0,0,1,0,0,2.83321334405622,0,0,1,0,0,1,0,0,2.07944154167984,0,1,1.97172072073173,2.39789527279837,0,0,0,0,0,0.0117018643384388,0.00594359899126813,0.0228253531948621,0.00167075025145709,0.00963882761241706,0,0.00376985928795805,2018-07-06
"Ecuador","ECU","ECU",2014,0,0,5.22035582507832,1,0,0,0,0,0,1,16.555851360525,4.16434698701574,-0.108764996554128,0,1,0,0,0,0,1,0,0,0,2.56494935746154,0,0,0,1,0,0,0,1,1.6094379124341,0,1,2.2634636457501,3.38439026334577,0,1,1,0,0,0.0448646576909589,0.0146786930706843,0.068872457321717,0.00834909710891791,0.0215051036997007,0.009,0.0129514002695395,2018-07-06
"Egypt","EGY","EGY",2014,1,1,4.12713438504509,1,0,0,0,1,0,0,18.2065201497956,3.76754945131056,0.131234639354831,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2.484906649788,0,1,1.48762525755947,0,0,1,1,0,0,0.0663075589055055,0.0384442016934914,0.0473668402200195,0.0239337617781111,0.0222170282035882,0.475,0.1737169299939,2018-07-06
"El Salvador","SAL","SLV",2014,0,0,5.15905529921453,1,0,0,0,0,0,1,15.655646454991,4.31549151882759,-0.0777707802063392,0,0,1,0,0,0,0,1,0,0,3.36729582998647,0,1,0,0,0,1,0,0,2.07944154167984,0,1,1.38905056619447,0,0,0,0,0,0,0.00999662857741036,0.00484080210413728,0.0120965029647528,0.00127039661487909,0.00526013437681718,0,0.00217684366389876,2018-07-06
"Equatorial Guinea","EQG","GNQ",2014,0,0,3.85014760171006,1,1,0,0,0,0,0,13.5093874907738,4.94084040973842,1.26352834278223,0,1,0,0,1,0,0,0,0,0,3.78418963391826,1,0,0,0,1,1,0,1,2.39789527279837,0,1,1.58113883008419,0,0,1,0,1,0,0.0844560539027874,0.0153913287200489,0.0245689098949293,0.0128621329106103,0.0106692942698413,0.005,0.00951047572681722,2018-07-06
"Eritrea","ERI","ERI",2014,0,0,3.09104245335832,1,1,0,0,0,0,0,15.6288557044326,3.6251383401884,0.64098663706268,1,0,0,0,1,0,0,0,0,0,2.99573227355399,1,0,0,1,0,0,0,0,0.693147180559945,0,0,2.64898260695899,0,0,0,0,0,0,0.0258655888011014,0.00992053186618386,0.0165166466367379,0.00424598578123801,0.00625480033720285,0.001,0.00383359537281362,2018-07-06
"Estonia","EST","EST",2014,0,0,3.17805383034795,1,0,0,1,0,0,0,14.1077293240418,5.19793291003349,-1.11905512175229,0,0,1,0,0,0,0,1,0,0,2.56494935746154,0,0,1,0,0,0,0,0,1.94591014905531,0,1,1.98466801698056,0,0,0,0,0,0,0.00533236991224526,0.00154505852958042,0.0120790806252317,0.000322697182208854,0.0015949206263626,0,0.000639205936190486,2018-07-06
"Ethiopia","ETI","ETH",2014,0,0,7.65681009148038,1,1,0,0,0,0,0,18.3343474897128,3.83230697558405,1.0527120623527,0,1,0,0,0,1,0,0,0,0,2.07944154167984,1,0,0,1,0,1,0,0,0.693147180559945,0.693147180559945,0,2.90956412162015,0,0,1,0,1,2.56494935746154,0.0664555784053553,0.0384204012106579,0.0511264006626437,0.0239540013499039,0.0277949285716744,0.003,0.0182496433071928,2018-07-06
"Fiji","FJI","FJI",2014,0,0,3.80666248977032,1,0,1,0,0,0,0,13.681684264718,4.84574337500109,-0.683313337679357,0,1,0,0,1,0,0,0,0,0,1.79175946922805,1,0,1,0,0,0,0,0,0,0,0,1.51894138441839,3.78418963391826,0,0,0,0,1.38629436111989,0.0218095843109496,0.00240756175956497,0.0248459003022,0.00113872817648343,0.00283993714417124,0,0.00132622177355156,2018-07-06
"Finland","FIN","FIN",2014,0,0,4.57471097850338,1,0,0,1,0,0,0,15.5045528666429,4.40669631872043,-1.83258146374831,0,0,1,0,0,0,0,0,1,0,4.23410650459726,0,1,0,0,0,0,0,0,1.94591014905531,0,1,-0.909229029178764,0,0,0,0,0,0,0.00237905275819569,0.00162994951677838,0.00225246136003329,0.000203822348940249,0.00090030995541136,0,0.000368044101450536,2018-07-06
"France","FRN","FRA",2014,0,0,7.06646697013696,1,0,0,1,0,0,0,18.0005590864467,4.0445916934641,-1.84144415286076,0,0,1,0,0,0,0,0,1,0,3.78418963391826,0,1,0,0,0,0,0,0,1.94591014905531,0,1,0.117808312417762,1.6094379124341,0,0,0,0,0,0.0024978563830655,0.00367383394756275,0.00330654591261628,0.000421309999453594,0.00152434085780872,0,0.000648550285754106,2018-07-06
"Gabon","GAB","GAB",2014,0,0,4.00733318523247,1,1,0,0,0,0,0,14.3056672432949,4.48043802426209,0.835463402765711,0,1,0,0,0,0,1,0,0,0,1.38629436111989,0,0,0,1,0,0,0,0,2.39789527279837,0,0,2.36643191323985,0,0,0,0,0,0,0.0466857188046062,0.0156732736994566,0.0919021300603757,0.00904756380689704,0.0107084676388208,0.005,0.00825201048190594,2018-07-06
"Gambia","GAM","GMB",2014,0,0,3.91202300542815,1,1,0,0,0,0,0,14.398410301293,4.3310169901494,1.18612027429948,0,1,0,0,1,0,0,0,0,0,2.77258872223978,1,0,0,1,0,0,0,0,2.39789527279837,0,1,2.45180775624187,0,0,0,0,0,0,0.0361942895460759,0.0196387995797657,0.0231708987869178,0.0093550607009605,0.00471836956722357,0,0.00469114342272802,2018-07-06
"Georgia","GRG","GEO",2014,0,0,3.17805383034795,1,0,0,1,0,0,0,15.3222067449365,4.5667124689203,-0.369870872780105,0,0,1,0,0,0,0,1,0,0,3.09104245335832,0,0,1,0,0,1,0,1,2.94443897916644,0,1,2.44948974278318,0,0,1,1,0,0,0.0189944509812943,0.00493894702595372,0.0204609611594434,0.00193052785609312,0.0122400645867966,0,0.00472353081429658,2018-07-06
"Germany","GER","DEU",2014,0,0,3.2188758248682,1,0,0,1,0,0,0,18.2208854751924,4.58154726435063,-1.80074085539977,0,0,1,0,0,0,0,0,1,0,3.13549421592915,0,1,0,0,0,0,0,0,1.94591014905531,0,1,0.829852583230831,0,0,0,0,0,0,0.00289741195352325,0.00404040218790189,0.00230862999951194,0.000501515957824685,0.000805987326350387,0,0.000435834428058357,2018-07-06
"Ghana","GHA","GHA",2014,0,0,4.06044301054642,1,1,0,0,0,0,0,17.0489384658001,4.62573981176158,0.655506395103346,0,0,1,0,0,0,0,1,0,0,2.484906649788,0,0,0,1,0,0,0,0,2.39789527279837,0,1,2.81329451244504,0,0,0,0,0,0,0.0190058824707138,0.0128306639973304,0.0320625562689765,0.0043628867628776,0.00471095005143302,0,0.00302461227143687,2018-07-06
"Greece","GRC","GRC",2014,0,0,5.20948615284142,1,0,0,1,0,0,0,16.2385566088891,4.07798135412001,-1.46304836384995,0,0,1,0,0,0,0,0,1,0,3.63758615972639,0,1,0,0,0,0,0,0,1.94591014905531,0,1,-2.52583281734359,1.09861228866811,0,0,0,0,0,0.00393538165574062,0.002556240834359,0.00391305995943047,0.000410542585030731,0.0016692530683456,0,0.00069326521779211,2018-07-06
"Guatemala","GUA","GTM",2014,0,0,5.17048399503815,1,0,0,0,0,0,1,16.5290676350201,4.1077897530512,0.168898536461814,0,0,1,0,0,0,0,1,0,0,2.83321334405622,0,0,1,0,0,1,0,0,2.07944154167984,0,1,1.72040192219271,0,0,1,1,0,0,0.0134703256188982,0.00739971387463384,0.0146087484841365,0.00220006568505352,0.0135671491223153,0,0.00525573826912292,2018-07-06
"Guinea","GUI","GIN",2014,0,0,4.04305126783455,1,1,0,0,0,0,0,16.2536114608239,4.51839576553774,1.02185828485827,0,1,0,0,0,0,1,0,0,0,1.09861228866811,0,0,0,1,0,1,0,1,2.39789527279837,0,1,1.98597962015807,0,0,1,0,1,0,0.122538307463598,0.0324713981450664,0.104695270780664,0.0302288579662069,0.0377792226765142,0,0.0226693602142404,2018-07-06
"Guinea-Bissau","GNB","GNB",2014,0,0,3.71357206670431,1,1,0,0,0,0,0,14.3244692400787,3.8902363061361,1.4911841777413,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2.39789527279837,0,1,-2.59083205257517,0,0,0,0,0,1.94591014905531,0.244394878429602,0.0227214537073759,0.0654759036384883,0.0341685408572455,0.0101279680765465,0.004,0.016098836311264,2018-07-06
